date,price
2009-03-06,302.21950000000004
2009-03-09,298.01
2009-03-10,302.375
2009-03-11,312.855
2009-03-12,319.325
2009-03-13,323.24505
2009-03-16,324.15999999999997
2009-03-17,327.215
2009-03-18,334.02684999999997
2009-03-19,331.69
2009-03-20,329.66499999999996
2009-03-23,341.24
2009-03-24,348.91999999999996
2009-03-25,343.79499999999996
2009-03-26,353.83000000000004
2009-03-27,348.73305000000005
2009-03-30,339.9325
2009-03-31,349.84299999999996
2009-04-01,347.925
2009-04-02,365.03999999999996
2009-04-03,364.86
2009-04-06,365.61105
2009-04-07,359.53
2009-04-08,360.605
2009-04-09,370.3
2009-04-13,374.70000000000005
2009-04-14,371.295
2009-04-15,372.61
2009-04-16,386.96
2009-04-17,392.315
2009-04-20,383.27
2009-04-21,380.20000000000005
